,RN,RY,DN,DY,total
represent,0.0909090909091,0.00842696629213,0.0412371134021,0.0227272727273,17.0
9/11,0.272727272727,0.0140449438202,0.0240549828179,0.0,15.0
chinese,0.272727272727,0.123595505618,0.0927835051546,0.0,74.0
dollar,0.181818181818,0.0224719101124,0.0137457044674,0.0454545454545,16.0
existing,0.0909090909091,0.0421348314607,0.0790378006873,0.113636363636,44.0
follow,0.0909090909091,0.0224719101124,0.0240549828179,0.0,16.0
decisions,0.0909090909091,0.061797752809,0.0927835051546,0.0,50.0
preserves,0.0909090909091,0.00561797752809,0.0,0.0,3.0
rights,0.0909090909091,0.191011235955,0.896907216495,0.0,330.0
catastrophe,0.363636363636,0.0365168539326,0.00687285223368,0.0454545454545,21.0
laid,0.0909090909091,0.0112359550562,0.00687285223368,0.0,7.0
send,0.181818181818,0.0393258426966,0.0481099656357,0.0454545454545,32.0
asking,0.0909090909091,0.0224719101124,0.0446735395189,0.0,22.0
rohrabacher-baird,0.181818181818,0.0,0.0,0.0,2.0
sent,0.0909090909091,0.0112359550562,0.0240549828179,0.0227272727273,13.0
jurisdiction,0.181818181818,0.0280898876404,0.0618556701031,0.0227272727273,31.0
outside,0.0909090909091,0.0252808988764,0.020618556701,0.0454545454545,18.0
rise,0.363636363636,0.14606741573,0.202749140893,0.0909090909091,119.0
terof,0.0909090909091,0.0280898876404,0.0446735395189,0.0,24.0
worst,0.181818181818,0.0112359550562,0.0171821305842,0.0,11.0
fall,0.0909090909091,0.00842696629213,0.0103092783505,0.0,7.0
affect,0.0909090909091,0.0140449438202,0.00687285223368,0.0,8.0
ticket,0.181818181818,0.00280898876404,0.0,0.0,3.0
bringing,0.0909090909091,0.0365168539326,0.0343642611684,0.0,24.0
governments,0.0909090909091,0.0140449438202,0.0309278350515,0.0,15.0
solves,0.272727272727,0.0,0.0,0.0,3.0
presented,0.0909090909091,0.0112359550562,0.0171821305842,0.0,10.0
did,0.272727272727,0.112359550562,0.185567010309,0.204545454545,106.0
cause,0.0909090909091,0.0224719101124,0.0446735395189,0.0,22.0
shock,0.181818181818,0.00280898876404,0.0,0.0,3.0
venue,0.0909090909091,0.0112359550562,0.0309278350515,0.0,14.0
solution,0.454545454545,0.0112359550562,0.0240549828179,0.0454545454545,18.0
fewer,0.0909090909091,0.00842696629213,0.0240549828179,0.0,11.0
leave,0.727272727273,0.0112359550562,0.0618556701031,0.0,30.0
h.and,0.0909090909091,0.00561797752809,0.0274914089347,0.0,11.0
team,0.0909090909091,0.00280898876404,0.0,0.0,2.0
