,No Coef,No Features,Yes Coef,Yes Features
0,3.00553260736,gentleman massachusetts,1.2598807489,gentleman oregon
1,2.84335441323,gentlewoman california,1.2602108571,objection amendment
2,2.67091196865,time yield,1.27367266239,unanimous consent
3,2.52170724904,gentlewoman minnesota,1.28053459801,jersey cosponsor
4,2.27524115592,speakers reserve,1.36991783593,yield pleased
5,2.11784349057,present form,1.44406862715,ask unanimous
6,2.08253429643,member subcommittee,1.4862695221,remaining speaker
7,2.06944387768,new york,1.49384875026,gentleman georgia
8,2.05944820326,gentleman texas,1.51099702706,time gentleman
9,2.00625601434,pennsylvania correct,1.61275335584,yield minute
10,1.80731609522,know names,1.66532135049,present voted
11,1.728133074,gentleman new,1.67983939897,continue reserve
12,1.67001768866,ranking member,1.69837501621,gentlewoman north
13,1.57294160229,seconds gentleman,1.8605049952,gentlewoman pennsylvania
14,1.53014813502,demand yeas,1.8611185239,amendment designee
15,1.50775458263,rollcall vote,1.8611185239,designee gentleman
16,1.47368642461,gentlewoman ohio,1.86753127993,gentleman florida
17,1.40862082482,right close,1.95123076587,speaker yield
18,1.40857196205,minutes distinguished,2.22738474254,gentlewoman yield
19,1.39226404435,yeas nays,2.46367440953,gentleman nebraska
