,No Coef,No Features,Yes Coef,Yes Features
0,3.9841836189,minnesota,1.32332636219,idaho
1,2.87472008755,brown,1.33247673228,amendment
2,2.77317442596,massachusetts,1.34419657023,advocate
3,2.28197918132,speakers,1.35183310702,author
4,2.17966362332,york,1.36083785005,chairman
5,2.16546536414,texas,1.37460339174,law
6,2.15415348137,reservation,1.45194761784,respond
7,2.12991268613,form,1.46349256227,georgia
8,1.94514642347,seconds,1.50664042837,purpose
9,1.9297864556,madam,1.52949271993,florida
10,1.90287852408,california,1.63148047459,nebraska
11,1.90169671588,subcommittee,1.66541698655,explanation
12,1.71038825354,close,1.75024259368,democrat
13,1.70200345321,colleague,1.77137697748,hias
14,1.63042204921,workforce,1.82485202301,rise
15,1.60330389156,friend,1.92418669757,voted
16,1.5779322061,offer,1.92425139897,miller
17,1.55570740578,ranking,2.21834112342,continue
18,1.5319864643,ohio,2.50267848331,minute
19,1.45284816263,correct,2.97296805105,designee
