,Democratic Coef,Democratic Features,Republican Coef,Republican Features
0,1.46291896982,gentleman new,2.92051016025,gentleman nebraska
1,1.48231916775,pennsylvania correct,2.0125762097,speaker yield
2,1.53428458329,know names,1.94304589761,gentlewoman pennsylvania
3,1.55158680077,florida coauthor,1.93996828476,amendment designee
4,1.55158680077,coauthor amendment,1.93996828476,designee gentleman
5,1.65857277514,helping amendment,1.81309495319,yield pleased
6,1.65857277514,pennsylvania helping,1.7896637515,gentlewoman north
7,1.69496988049,minutes distinguished,1.76574356679,continue reserve
8,1.70024821638,ranking member,1.60671203878,gentleman georgia
9,1.82724182896,new york,1.47813422947,remaining speaker
10,1.83534788911,present form,1.4664469833,gentleman idaho
11,1.93239617633,gentlewoman minnesota,1.4664469833,gentleman oregon
12,1.93485623833,member subcommittee,1.46314301132,voted yea
13,1.98556581663,cosponsors amendment,1.42758614338,time opposition
14,1.98556581663,florida cosponsors,1.40743414761,objection amendment
15,2.25116868026,gentleman texas,1.34591627678,claim time
16,2.27362716058,speakers reserve,1.33019344811,yield gentleman
17,2.52608555398,time yield,1.31079171202,happy yield
18,2.58450073766,gentlewoman california,1.30364729906,opposition motion
19,3.01110855152,gentleman massachusetts,1.29720617138,gentleman indiana
