,Democratic Coef,Democratic Features,Republican Coef,Republican Features
0,1.43612786199,problem,2.78680154779,designee
1,1.50595769528,colleague,2.31916050218,nebraska
2,1.51671221115,seconds,2.17711168862,yea
3,1.54438560273,workforce,2.12307459876,continue
4,1.55405186509,subcommittee,2.1228491707,objection
5,1.57581850087,texas,2.0185597643,hias
6,1.60934908033,brown,1.88153094383,georgia
7,1.65085317457,form,1.8358306922,indiana
8,1.66950743348,friend,1.75965270123,fair
9,1.77455689796,york,1.72598361019,idaho
10,1.9154623423,madam,1.65107500865,oregon
11,1.98892916017,ranking,1.61401535002,advocate
12,2.07144152953,helpful,1.59683736312,miller
13,2.22986535081,coauthor,1.59468255743,chairman
14,2.27174163737,speakers,1.56408670485,tennessee
15,2.45590159666,minnesota,1.55817930166,respond
16,2.48915986747,reservation,1.49644397173,rise
17,2.5278844058,massachusetts,1.44448944659,minute
18,2.79599654429,helping,1.44362340097,happy
19,3.30671489746,cosponsors,1.39851809445,claim
